§sequence§labels§scores§Top 3
0§Freie Demokraten Freie Demokraten  Beschluss des  Ord§bildung§0.3781391978263855§[('bildung', 0.3781391978263855), ('politik und ideologie', 0.3347404897212982), ('gesundheit', 0.08408195525407791)]
0§Der Rechtsstaat muss auch in komplexen und exponierten Verfahren seine Hand- lungsfähigkeit unter Beweis stellen§bildung§0.3834910988807678§[('bildung', 0.3834910988807678), ('gesundheit', 0.21727533638477325), ('politik und ideologie', 0.09384454041719437)]
0§So muss der Strafprozess digitaler und kommunikativer werden§gesundheit§0.40260809659957886§[('gesundheit', 0.40260809659957886), ('soziale ursachen', 0.2565712630748749), ('bildung', 0.14866408705711365)]
0§Vernehmungen und Hauptverhandlung müssen in Bild und Ton aufgezeichnet werden - das ist international Standard§bildung§0.6856312155723572§[('bildung', 0.6856312155723572), ('gesundheit', 0.06896992027759552), ('wissenschaft', 0.06625626981258392)]
0§Hauptverhandlungen könnten konzentrierter und schneller durchgeführt werden, wenn das Gericht mit Verteidigung und Staatsanwaltschaft Gespräche über die Verfahrensgestaltung führen könnte§bildung§0.38905391097068787§[('bildung', 0.38905391097068787), ('gesundheit', 0.20232638716697693), ('politik und ideologie', 0.08570418506860733)]
0§Gerichtsverfahren modernisieren und beschleunigen  Wir Freie Demokraten wollen Gerichtsverfahren modernisie- ren und beschleunigen§bildung§0.32954278588294983§[('bildung', 0.32954278588294983), ('politik und ideologie', 0.25148919224739075), ('gesundheit', 0.09459467232227325)]
0§In einem Digitalpakt für die Justiz soll sich der Bund daran beteiligen, die technische Ausstattung der Justiz in den Ländern deutlich zu verbessern, um zum Beispiel virtuelle Verhandlungen zu ermöglichen§bildung§0.5731302499771118§[('bildung', 0.5731302499771118), ('gesundheit', 0.13277673721313477), ('soziale ursachen', 0.058874357491731644)]
0§Wir wollen außerdem den Zugang zum Recht erleichtern, indem gering- fügige Forderungen in einem vollständig digitalen, kosten- günstigen und schnellen Verfahren geltend gemacht werden können§bildung§0.2707701325416565§[('bildung', 0.2707701325416565), ('gesundheit', 0.12823261320590973), ('soziale ursachen', 0.11517801135778427)]
0§Auch international wollen wir den Justizstandort Deutschland stärken§bildung§0.2149108648300171§[('bildung', 0.2149108648300171), ('gesundheit', 0.2090507447719574), ('klima', 0.14156115055084229)]
0§Wir Freie Demokraten fordern einen eigenen Internationalen Handelsgerichtshof für Deutschland§bildung§0.3564360737800598§[('bildung', 0.3564360737800598), ('politik und ideologie', 0.23178474605083466), ('soziale ursachen', 0.10800337791442871)]
0§Legal Tech nutzen: Anwaltliches Berufsrecht modernisieren  Wir Freie Demokraten wollen den Rechtsrahmen für Legal Tech-Unternehmen erweitern und auch das anwaltliche Berufs- recht modernisieren§bildung§0.38272976875305176§[('bildung', 0.38272976875305176), ('gesundheit', 0.21915124356746674), ('politik und ideologie', 0.17387224733829498)]
0§Wir wollen das Verbot von Erfolgsho- noraren abschaffen und das Fremdbesitzverbot lockern§gesundheit§0.27849486470222473§[('gesundheit', 0.27849486470222473), ('bildung', 0.21348780393600464), ('politik und ideologie', 0.17330007255077362)]
0§Wir erleichtern die Durchsetzung kleiner Forderungen, für die der Rechtsweg bislang zu teuer oder zu mühsam ist§bildung§0.3174874484539032§[('bildung', 0.3174874484539032), ('politik und ideologie', 0.1741100549697876), ('gesundheit', 0.12466225028038025)]
0§Der Rechts- rahmen soll klare Anforderungen an Qualität und Sachkunde, als auch strikte Transparenzregeln von Legal Tech-Unterneh- men festlegen§bildung§0.3979514539241791§[('bildung', 0.3979514539241791), ('gesundheit', 0.23961631953716278), ('klima', 0.10136287659406662)]
0§Damit stärken wir Wettbewerb und Verbrau- cherschutz§gesundheit§0.3763234317302704§[('gesundheit', 0.3763234317302704), ('wirtschaft', 0.19960558414459229), ('bildung', 0.15761449933052063)]
0§Föderalismusreform Ill: Klare Zuständigkeiten in der Sicherheitsarchitektur  Wir Freie Demokraten fordern eine Föderalismuskommission III von Bund und Ländern§bildung§0.28648921847343445§[('bildung', 0.28648921847343445), ('gesundheit', 0.210848867893219), ('politik und ideologie', 0.2002093344926834)]
0§Die Kommission soll Vorschläge für eine Reform der Sicherheitsarchitektur unterbreiten, etwa durch eine Reduzierung der Anzahl der Landesämter für Verfassungsschutz§bildung§0.4147016108036041§[('bildung', 0.4147016108036041), ('gesundheit', 0.1623397022485733), ('politik und ideologie', 0.13224411010742188)]
0§Zuständigkeiten, Verantwortlichkeiten  und Verfahren müssen klarer werden§bildung§0.27921122312545776§[('bildung', 0.27921122312545776), ('gesundheit', 0.1398312896490097), ('soziale ursachen', 0.10623745620250702)]
0§Die parlamentarische Kontrolle und Datenschutzaufsicht muss auch in den Koopera- tionsplattformen der Sicherheitsbehörden sichergestellt sein, insbesondere im Gemeinsamen Terrorabwehrzentrum (GTAZ) und im Gemeinsamen Extremismus- und Terrorismusabwehr- zentrum (GETZ)§bildung§0.3593733310699463§[('bildung', 0.3593733310699463), ('gesundheit', 0.24878720939159393), ('klima', 0.0871482789516449)]
0§Dazu fordern wir für diese Kooperations- plattformen eine gesetzliche Grundlage, die den Datenaus- tausch zwischen den Behörden regelt§gesundheit§0.3126121461391449§[('gesundheit', 0.3126121461391449), ('bildung', 0.2846454679965973), ('klima', 0.09876013547182083)]
0§Wir wollen hierbei die Aufgaben von Nachrichtendiensten und Polizei voneinander   getrennt halten und dieses Trennungsgebot im Grundgesetz verankern§gesundheit§0.3061848282814026§[('gesundheit', 0.3061848282814026), ('bildung', 0.2934931814670563), ('klima', 0.1104164645075798)]
0§Europäisches Kriminalamt schaffen  Wir Freie Demokraten fordern, Europol zu einem echten Europäischen Kriminalamt auszubauen§bildung§0.34344562888145447§[('bildung', 0.34344562888145447), ('gesundheit', 0.22065316140651703), ('politik und ideologie', 0.1278562992811203)]
0§Die eigenen operati- ven Möglichkeiten von Europol müssen ausgedehnt werden§bildung§0.40044113993644714§[('bildung', 0.40044113993644714), ('gesundheit', 0.16519607603549957), ('politik und ideologie', 0.07836561650037766)]
0§Terrorismus, organisierte Kriminalität und Cyberkriminalität machen nicht an Landesgrenzen halt§none§0.4381321966648102§[('none', 0.4381321966648102), ('bildung', 0.21935226023197174), ('klima', 0.1144084632396698)]
0§Die Erkenntnisse der  verschiedenen Kommunikationsverkehre nicht mehr ausein- anderhalten lassen§wissenschaft§0.1795782744884491§[('wissenschaft', 0.1795782744884491), ('bildung', 0.1700698286294937), ('gesundheit', 0.1643902063369751)]
0§Weil der Einsatz nachrichtendienstlicher Mittel für die Betroffenen einen massiven Eingriff in ihre Grundrechte darstellt, ist den betroffenen Personen sowie den Telekommunikationsunternehmen effektiver Rechtsschutz zu gewähren und eine praktisch wirksame Klagebefugnis gegen Überwachungsmaßnahmen einzuräumen§bildung§0.3805546462535858§[('bildung', 0.3805546462535858), ('gesundheit', 0.21752828359603882), ('klima', 0.10516686737537384)]
0§Eine Überwachung im Inland und in einem anderen EU-Mitgliedstaat muss den Betroffenen nach Abschluss der Maßnahmen mitgeteilt wer- den§bildung§0.38956788182258606§[('bildung', 0.38956788182258606), ('gesundheit', 0.2485930323600769), ('politik und ideologie', 0.08005615323781967)]
0§Schon vor einer Entscheidung ist eine Betroffenenanwäl-  Wir Freie Demokraten fordern eine umfassende Neuord- nung der Kontrolle der Nachrichtendienste nach einem Drei-Säulen-Modell: Die Genehmigung der Überwachung und die Gesetzmäßigkeitskontrolle der Nachrichtendiens- te soll in richterlicher Unabhängigkeit erfolgen§gesundheit§0.22258026897907257§[('gesundheit', 0.22258026897907257), ('bildung', 0.21607542037963867), ('politik und ideologie', 0.1737198382616043)]
0§Die parla- mentarische Kontrolle soll verbessert und die Rechte der Parlamentsminderheit sollen gestärkt werden§bildung§0.3853445053100586§[('bildung', 0.3853445053100586), ('gesundheit', 0.23652996122837067), ('politik und ideologie', 0.17933034896850586)]
0§Eine Parla- mentarische Nachrichtendienstbeauftragte oder ein -beauftragter soll dabei unterstützen, die Nachrichten- dienste zu kontrollieren, und auch Einblick in sensible Informationen anderer Dienste erhalten können§bildung§0.4693479537963867§[('bildung', 0.4693479537963867), ('gesundheit', 0.23103080689907074), ('soziale ursachen', 0.07153037935495377)]
0§nationalen Sicherheitsbehörden zu grenzübergreifenden Sachverhalten sollen gemeinsam ausgewertet und Einsätze der Mitgliedstaaten koordiniert werden§bildung§0.39187777042388916§[('bildung', 0.39187777042388916), ('gesundheit', 0.19207608699798584), ('politik und ideologie', 0.10422014445066452)]
0§Gefährder-Definitio- nen und Datenbanken müssen auf europäischer Ebene verein- heitlicht werden und kompatibel sein§bildung§0.347153902053833§[('bildung', 0.347153902053833), ('none', 0.22371363639831543), ('gesundheit', 0.09061070531606674)]
0§Außerdem wollen wir die europäische Cybersicherheits-Behörde ENISA stärken§gesundheit§0.2808394432067871§[('gesundheit', 0.2808394432067871), ('bildung', 0.2590690851211548), ('politik und ideologie', 0.0935758501291275)]
0§Kontrolle der Nachrichtendienste durch Drei-Säulen-Modell  Wir Freie Demokraten fordern eine umfassende Neuordnung der Kontrolle der Nachrichtendienste nach einem Drei-Säu- len-Modell: Die Genehmigung der Überwachung und die Gesetzmäßigkeitskontrolle der Nachrichtendienste soll in richterlicher Unabhängigkeit erfolgen§bildung§0.21433046460151672§[('bildung', 0.21433046460151672), ('gesundheit', 0.2015599012374878), ('politik und ideologie', 0.16001686453819275)]
0§Die parlamentarische Kontrolle soll verbessert und die Rechte der Parlaments- minderheit sollen gestärkt werden§bildung§0.41653692722320557§[('bildung', 0.41653692722320557), ('gesundheit', 0.19006101787090302), ('politik und ideologie', 0.15714825689792633)]
0§Eine Parlamentarische Nachrichtendienstbeauftragte oder ein -beauftragter soll dabei unterstützen, die Nachrichtendienste zu kontrollieren, und auch Einblick in sensible Informationen anderer Dienste erhalten können§bildung§0.39665487408638§[('bildung', 0.39665487408638), ('gesundheit', 0.23980000615119934), ('wissenschaft', 0.08171915262937546)]
0§Die Rechtsgrundlagen der Kommunikations- überwachung durch die Nachrichtendienste sind im Lichte ihrer jeweiligen Funktion im Inland anzugleichen, da sich die  Das Programm der Freien Demokraten zur Bundestagswahl  tin oder ein -anwalt anzuhören, die oder der die Rechte der betroffenen Bürgerinnen und Bürger vertritt§politik und ideologie§0.24559761583805084§[('politik und ideologie', 0.24559761583805084), ('bildung', 0.23541966080665588), ('gesundheit', 0.17865726351737976)]
0§Organisierte Kriminalität bekämpfen  Wir Freie Demokraten setzen uns dafür ein, dass Organisier- te Kriminalität nachhaltig bekämpft wird§gesundheit§0.2691262662410736§[('gesundheit', 0.2691262662410736), ('bildung', 0.21027660369873047), ('klima', 0.19610871374607086)]
0§Den hocheffizienten und -effektiven Strukturen der Organisierten Kriminalität in all ihren vielfältigen Formen muss zum Schutz von Staat und Ge- sellschaft von staatlicher Seite mit entsprechend strukturierten und nachhaltigen Aktivitäten entgegnet werden§bildung§0.30856525897979736§[('bildung', 0.30856525897979736), ('gesundheit', 0.1882864087820053), ('soziale ursachen', 0.1110287606716156)]
0§Diese müs- sen endlich auch das Dunkelfeld bei klassischen Delikten der Organisierten Kriminalität ins Visier nehmen§bildung§0.3096390664577484§[('bildung', 0.3096390664577484), ('gesundheit', 0.29121434688568115), ('klima', 0.10894221067428589)]
0§Besonders im Bereich der Organisierten Wirtschaftskriminalität muss end- lich wieder eine regelmäßige Bekämpfung möglich werden§wirtschaft§0.6238899230957031§[('wirtschaft', 0.6238899230957031), ('bildung', 0.17446328699588776), ('gesundheit', 0.10717584192752838)]
0§Innere Führung bei der Polizei  Wir Freie Demokraten setzen uns für die Schaffung eines Beirats „Innere Führung” bei der Polizei ein, der Kriterien für Fehlerkultur und Selbstreflexion in der Polizeiarbeit erarbeiten soll§bildung§0.3971392512321472§[('bildung', 0.3971392512321472), ('gesundheit', 0.17562445998191833), ('politik und ideologie', 0.12967784702777863)]
0§Das Fehlverhalten einzelner Beamtinnen und Beamter einschließlich der Bedingungen, die zu dem Fehlverhalten ge-   führt haben, müssen aufgeklärt werden§bildung§0.33724918961524963§[('bildung', 0.33724918961524963), ('gesundheit', 0.18301942944526672), ('wissenschaft', 0.11967819929122925)]
0§Damit wollen wir das Vertrauen in die Polizei stärken§bildung§0.331449419260025§[('bildung', 0.331449419260025), ('gesundheit', 0.2750420570373535), ('klima', 0.13592274487018585)]
0§Denn die große Mehrheit der Polizistinnen und Polizisten leistet eine hervorragende Arbeit§bildung§0.4142450988292694§[('bildung', 0.4142450988292694), ('gesundheit', 0.21645578742027283), ('wirtschaft', 0.11426814645528793)]
0§Es darf daher keinen Generalverdacht gegenüber unserer Polizei geben§bildung§0.28941792249679565§[('bildung', 0.28941792249679565), ('gesundheit', 0.24782423675060272), ('klima', 0.14520065486431122)]
0§Auch die deutsche Polizeiausbildung ist im internationalen Vergleich besonders gut§gesundheit§0.549508810043335§[('gesundheit', 0.549508810043335), ('bildung', 0.35413795709609985), ('klima', 0.022473325952887535)]
0§Wissenschaftliche Erkenntnisse zu Radikalisierung, Extremismus und Rassismus müssen in der Ausbildung dennoch ebenso wie die Sensi- bilität für Diskriminierung eine stärkere Rolle spielen§wissenschaft§0.5264606475830078§[('wissenschaft', 0.5264606475830078), ('bildung', 0.25688299536705017), ('politik und ideologie', 0.0663127526640892)]
0§Wir verurteilen Angriffe auf Einsatzkräfte scharf§bildung§0.19998285174369812§[('bildung', 0.19998285174369812), ('gesundheit', 0.19559992849826813), ('soziale ursachen', 0.15552818775177002)]
0§Deshalb fordern wir eine bessere Dokumentation von Gewalt und Übergriffen gegen Polizeibeamtinnen und -beamte sowie andere Beschäf- tigte des öffentlichen Dienstes§bildung§0.29651960730552673§[('bildung', 0.29651960730552673), ('gesundheit', 0.27310845255851746), ('klima', 0.13494929671287537)]
0§Polizeiliches Handeln muss immer nachvollziehbar sein, wir fordern daher eine pseudo- nyme Kennzeichnungspflicht für Beamtinnen und Beamte§bildung§0.3323104679584503§[('bildung', 0.3323104679584503), ('gesundheit', 0.179350808262825), ('klima', 0.12789617478847504)]
0§Bessere Ausstattung und Ausrüstung der Polizei  Wir Freie Demokraten fordern eine bessere und funktionale Personal- und Sachausstattung für die Polizei§bildung§0.3057231605052948§[('bildung', 0.3057231605052948), ('politik und ideologie', 0.24445584416389465), ('gesundheit', 0.15391409397125244)]
0§Dafür wollen wir entsprechende Mittel bereitstellen und die Infrastruktur schaffen§infrastruktur§0.4660252034664154§[('infrastruktur', 0.4660252034664154), ('bildung', 0.1648894101381302), ('wirtschaft', 0.15764972567558289)]
0§Insbesondere wollen wir mit einem Digitalpakt dafür sorgen, dass Polizistinnen und Polizisten in Deutschland mit dem neuesten Stand der Technik und mit kompatiblen IT-Infrastrukturen ausgerüstet sind§infrastruktur§0.35421353578567505§[('infrastruktur', 0.35421353578567505), ('bildung', 0.2481730580329895), ('gesundheit', 0.14829766750335693)]
0§Denn die besten Geset- ze helfen nicht weiter, wenn sie mangels Personal, durch fehlende Ausrüstung oder aufgrund dysfunktionaler IT-Infra- struktur nicht durchgesetzt werden können§infrastruktur§0.31958702206611633§[('infrastruktur', 0.31958702206611633), ('gesundheit', 0.2907162308692932), ('bildung', 0.15508490800857544)]
0§Zusätzlich wollen wir die Polizeien durch eine Aufgabenkritik entlasten§bildung§0.24953687191009521§[('bildung', 0.24953687191009521), ('gesundheit', 0.2198767364025116), ('politik und ideologie', 0.11718697100877762)]
0§Dazu gehört zu prüfen, ob Aufgaben, die derzeit von der Polizei betraut werden, im vollen Umfang oder in Teilen von ande- ren behördlichen Einrichtungen ausgeführt werden können  - beispielsweise der Objektschutz oder die Aufnahme von Verkehrsunfällen§bildung§0.35811734199523926§[('bildung', 0.35811734199523926), ('gesundheit', 0.1813923716545105), ('wissenschaft', 0.1200399249792099)]
0§Mit den freiwerdenden Kapazitäten kann sich die Polizei ihren Kernaufgaben noch intensiver widmen und damit zur Stärkung des Rechtsstaates beitragen§bildung§0.3416804075241089§[('bildung', 0.3416804075241089), ('gesundheit', 0.30300483107566833), ('klima', 0.13288626074790955)]
0§Waffenrecht mit Augenmaß und Konsequenz  Wir Freie Demokraten stehen für ein Waffenrecht mit Augen- maß und Konsequenz§bildung§0.32018136978149414§[('bildung', 0.32018136978149414), ('politik und ideologie', 0.2790226638317108), ('gesundheit', 0.12060895562171936)]
0§Dabei muss zwischen den Besitzerin- nen und Besitzern von Legalwaffen wie Sportschützen und Jägern und zwischen dem illegalen Waffenbesitz sowie dem Waffenbesitz durch gefährliche Personen strikt unterschieden werden§bildung§0.30580630898475647§[('bildung', 0.30580630898475647), ('gesundheit', 0.24712182581424713), ('none', 0.12241360545158386)]
0§Die jüngsten Verschärfungen des Waffenrechts ha- ben die Besitzer von Legalwaffen wie Sportschützen und Jä- ger mit zusätzlicher unnützer Bürokratie überzogen§bildung§0.4892721474170685§[('bildung', 0.4892721474170685), ('gesundheit', 0.21172960102558136), ('klima', 0.07724124193191528)]
0§Der Bund sollte eine Generalrevision des Waffenrechts unternehmen, um Praktikabilität und Praxisnähe zu verbessern§bildung§0.360504150390625§[('bildung', 0.360504150390625), ('gesundheit', 0.18347623944282532), ('soziale ursachen', 0.11349762231111526)]
0§Gefährder und Extremisten dürfen keine Waffen besitzen§bildung§0.2954798936843872§[('bildung', 0.2954798936843872), ('none', 0.2563595473766327), ('gesundheit', 0.10393548011779785)]
0§Dazu muss der Datenaustausch der beteiligten Behörden verbessert und der illegale Waffenhandel auf europäischer Ebene stärker bekämpft werden§bildung§0.44794148206710815§[('bildung', 0.44794148206710815), ('gesundheit', 0.2443380504846573), ('klima', 0.06730563193559647)]
0§Starker Verbraucherschutz orientiert am Leitbild des mündigen Verbrauchers  Das Programm der Freien Demokraten zur Bundestagswahl  Wir Freie Demokraten setzen uns für einen Verbraucherschutz ein, der den mündigen Verbraucherinnen und Verbrauchern Optionen und eine informierte sowie souveräne Entschei- dung ermöglicht§bildung§0.34806889295578003§[('bildung', 0.34806889295578003), ('gesundheit', 0.16409337520599365), ('politik und ideologie', 0.1327512413263321)]
0§Wir vertrauen auf die Selbstbestimmung der Verbraucher§bildung§0.24457569420337677§[('bildung', 0.24457569420337677), ('gesundheit', 0.2202717661857605), ('wirtschaft', 0.17523224651813507)]
0§Deshalb lehnen wir eine bevormundende Verbraucherpolitik ab, die zum Beispiel die Dauer bestimmter Verträge schematisch begrenzt§politik und ideologie§0.43991556763648987§[('politik und ideologie', 0.43991556763648987), ('bildung', 0.2189611941576004), ('gesundheit', 0.13200880587100983)]
0§Selbstbestimmung setzt aber eine freie und informierte Entscheidung voraus, die auch die Zwänge und Grenzen berücksichtigt, denen Verbraucher unterliegen§bildung§0.2904515862464905§[('bildung', 0.2904515862464905), ('gesundheit', 0.24761930108070374), ('wissenschaft', 0.1003599762916565)]
0§Dies wollen wir ermöglichen, indem wir uns insbesondere zur besseren Vergleichbarkeit bei Langzeit- verträgen für die Ausweisung monatlicher Durchschnitts- preise aussprechen§gesundheit§0.2840023338794708§[('gesundheit', 0.2840023338794708), ('bildung', 0.22248123586177826), ('wirtschaft', 0.11366410553455353)]
0§Zudem wollen wir die Durchsetzung  von Verbraucherrechten vereinfachen, zum Beispiel durch „Smart Contracts”, die eine automatische Entschädigung von Verbrauchern bei Verspätungen vorsehen§gesundheit§0.32581964135169983§[('gesundheit', 0.32581964135169983), ('bildung', 0.3165741562843323), ('soziale ursachen', 0.0753033459186554)]
0§Presse- und Meinungsfreiheit sind Grungpfeiler unserer libe- ralen und offenen demokratischen Gesellschaft§bildung§0.3294631838798523§[('bildung', 0.3294631838798523), ('gesundheit', 0.19479000568389893), ('none', 0.12483974546194077)]
0§Denn unsere Gesellschaft lebt von einem freien und unbefangenen Wett streit der Meinungen§bildung§0.3378250002861023§[('bildung', 0.3378250002861023), ('gesundheit', 0.1946369707584381), ('none', 0.1442999392747879)]
0§Wir Freie Demokraten stehen deshalb für eine aktive und offene Debattenkultur, die Meinungsvielfalt fördert und schützt§politik und ideologie§0.5203237533569336§[('politik und ideologie', 0.5203237533569336), ('bildung', 0.19036909937858582), ('gesundheit', 0.07233510911464691)]
0§Gleichzeitig muss sie Widerspruch bei Respekt vor den Standpunkten anderer ermöglichen§bildung§0.27741682529449463§[('bildung', 0.27741682529449463), ('gesundheit', 0.20972996950149536), ('politik und ideologie', 0.10934528708457947)]
0§Denn Kommunikationsgrundrechte schützen nicht vor gesellschaft- lichen Konflikten oder anderen Ansichten§bildung§0.28502681851387024§[('bildung', 0.28502681851387024), ('gesundheit', 0.22395285964012146), ('none', 0.16717781126499176)]
0§Leider nehmen Straftaten, Hass und Hetze im Internet weiter zu§gesundheit§0.2843942642211914§[('gesundheit', 0.2843942642211914), ('bildung', 0.2438575178384781), ('none', 0.11850555986166)]
0§Der Staat steht hier in der Pflicht, entschieden zu handeln - und Persön- lichkeitsrechte sowie die freie Meinungsäußerung effektiv zu schützen§bildung§0.3280129134654999§[('bildung', 0.3280129134654999), ('politik und ideologie', 0.2525597810745239), ('gesundheit', 0.1709013432264328)]
0§Netzwerkdurchsetzungsgesetz abschaffen  Wir Freie Demokraten wollen das Netzwerkdurchsetzungs- gesetz ([NetzDG) abschaffen und durch einen Regulierungs- mix ersetzen, der den Schutz der Meinungsfreiheit in vollem Umfang gewährleistet§politik und ideologie§0.26418840885162354§[('politik und ideologie', 0.26418840885162354), ('bildung', 0.24596476554870605), ('gesundheit', 0.13217490911483765)]
0§Wir setzen uns für eine effektivere Ver- folgung von Straftaten im Netz ein§bildung§0.31738248467445374§[('bildung', 0.31738248467445374), ('gesundheit', 0.31004539132118225), ('klima', 0.08964964747428894)]
0§Das NetzDG setzt bisher einseitig einen Anreiz zur Löschung von Inhalten und legt die Entscheidung über die Grenzen der Meinungsfreiheit allein in die Hände sozialer Netzwerke§gesundheit§0.302981972694397§[('gesundheit', 0.302981972694397), ('bildung', 0.29531505703926086), ('soziale ursachen', 0.16944223642349243)]
0§Deren Einfluss wollen wir durch Einrichtungen der Selbstregulierung als Beschwerde- instanz verringern§gesundheit§0.20090466737747192§[('gesundheit', 0.20090466737747192), ('politik und ideologie', 0.16621439158916473), ('bildung', 0.1152002364397049)]
0§Es ist primär Aufgabe des Staates, gegen strafbare Handlungen im Netz vorzugehen§gesundheit§0.3303741216659546§[('gesundheit', 0.3303741216659546), ('bildung', 0.23126378655433655), ('politik und ideologie', 0.09282791614532471)]
0§Opferschutz bei Straftaten und Persönlichkeitsrechtsverletzungen im Internet stärken  Wir Freie Demokraten wollen Opfer von Straftaten im Internet in die Lage versetzen, sich zu wehren, indem sie — wie im Urheberrecht - einen Auskunftsanspruch gegen Plattformen und Internetprovider erhalten§gesundheit§0.25929945707321167§[('gesundheit', 0.25929945707321167), ('bildung', 0.2356918454170227), ('politik und ideologie', 0.1568601131439209)]
0§Bleibt die Täterin oder der   Täter anonym und reagiert nicht auf eine Kontaktaufnahme, sollte auch eine Sperrung des Accounts in Betracht kommen§gesundheit§0.3526528477668762§[('gesundheit', 0.3526528477668762), ('bildung', 0.32548394799232483), ('wissenschaft', 0.0810999870300293)]
0§Soziale Netzwerke sollen zudem umfassend zuständige Zu- stellungsbevollmächtigte im Inland benennen müssen§soziale ursachen§0.26806628704071045§[('soziale ursachen', 0.26806628704071045), ('gesundheit', 0.2004055231809616), ('bildung', 0.18318279087543488)]
0§war§soziale ursachen§0.20568695664405823§[('soziale ursachen', 0.20568695664405823), ('none', 0.1758425235748291), ('politik und ideologie', 0.16895832121372223)]
0§Whistleblowerinnen sollen auch vor der Strafverfolgung durch ausländische Staaten geschützt werden§gesundheit§0.37311598658561707§[('gesundheit', 0.37311598658561707), ('bildung', 0.29525551199913025), ('politik und ideologie', 0.07191738486289978)]
0§Die EU-Richt- linie zum Schutz von Whistleblowern soll umgehend in deutsches Recht umgesetzt werden§bildung§0.2939578890800476§[('bildung', 0.2939578890800476), ('gesundheit', 0.2818530797958374), ('politik und ideologie', 0.2167438119649887)]
0§o Zum Tatmittel Hasspostings wurden Straftaten registiert§gesundheit§0.3421166241168976§[('gesundheit', 0.3421166241168976), ('bildung', 0.2644290626049042), ('soziale ursachen', 0.0956505835056305)]
0§=  Erfassung politisch motivierter Kriminalität (PMK)§politik und ideologie§0.7683980464935303§[('politik und ideologie', 0.7683980464935303), ('klima', 0.04567679017782211), ('gesundheit', 0.04355458542704582)]
0§E  Wir Freie Demokraten wollen Opfer von Straftaten im PMK (rechts) Internet in die Lage versetzen, sich zu wehren, indem sie S — wie im Urheberrecht - einen Auskunftsanspruch gegen PMK (links) Plattformen und Internetprovider erhalten§gesundheit§0.2452632188796997§[('gesundheit', 0.2452632188796997), ('politik und ideologie', 0.24388499557971954), ('bildung', 0.20243996381759644)]
0§Bleibt die Täte- PMK (ausländische Ideologie) E rin oder der Täter anonym und reagiert nicht auf eine§politik und ideologie§0.4898189604282379§[('politik und ideologie', 0.4898189604282379), ('bildung', 0.23153842985630035), ('gesundheit', 0.16022425889968872)]
0§Kontaktaufnahme, sollte auch eine Sperrung des Accounts PMK (religiöse Ideologie)§politik und ideologie§0.49460455775260925§[('politik und ideologie', 0.49460455775260925), ('bildung', 0.16183972358703613), ('gesundheit', 0.14435334503650665)]
0§in Betracht kommen§bildung§0.3614424169063568§[('bildung', 0.3614424169063568), ('wirtschaft', 0.15858715772628784), ('gesundheit', 0.10389824956655502)]
0§Soziale Netzwerke sollen zudem PMK (nicht zuzuordnen) < umfassend zuständige Zustellungsbevollmächtigte im = Inland benennen müssen§gesundheit§0.3003320097923279§[('gesundheit', 0.3003320097923279), ('soziale ursachen', 0.28506582975387573), ('bildung', 0.15148501098155975)]
0§Gesamt F  '®  O  Der öffentlich-rechtliche Rundfunk braucht eine Auftrags- und Strukturreform  Wir Freie Demokraten wollen einen moderneren und schlan- keren öffentlich-rechtlichen Rundfunk (ÖRR), der sich primär auf Nachrichten, Kultur, politische Bildung und Dokumentatio- nen konzentrieren soll§bildung§0.24967311322689056§[('bildung', 0.24967311322689056), ('gesundheit', 0.21877504885196686), ('politik und ideologie', 0.17010213434696198)]
0§Damit wollen wir den Rundfunkbeitrag absenken§gesundheit§0.27326875925064087§[('gesundheit', 0.27326875925064087), ('bildung', 0.2409573346376419), ('soziale ursachen', 0.13494469225406647)]
0§Die Zahl der Fernseh- und Hörfunkkanäle, die von den Rundfunkanstalten betrieben werden, ist zu reduzieren§bildung§0.2980293333530426§[('bildung', 0.2980293333530426), ('gesundheit', 0.22871318459510803), ('soziale ursachen', 0.19855479896068573)]
0§Nicht erforderliche Parallelangebote sind zu vermeiden§none§0.5628624558448792§[('none', 0.5628624558448792), ('gesundheit', 0.16166837513446808), ('bildung', 0.12391028553247452)]
0§Im Internet sollte der ÖRR auf Bereiche begrenzt sein, die mit klassischem Rundfunk vergleichbar sind oder in direktem Zusammenhang mit ihm stehen§bildung§0.39422762393951416§[('bildung', 0.39422762393951416), ('gesundheit', 0.20038725435733795), ('infrastruktur', 0.18139521777629852)]
0§Ein funktionierendes duales Mediensystem braucht Ausgewogenheit§gesundheit§0.7562978863716125§[('gesundheit', 0.7562978863716125), ('bildung', 0.12805891036987305), ('wissenschaft', 0.035389725118875504)]
0§Die Verhältnis- mäßigkeit zwischen Rundfunkbeitrag und Wettbewerb muss gewahrt sein§bildung§0.28672361373901367§[('bildung', 0.28672361373901367), ('gesundheit', 0.2777758836746216), ('wirtschaft', 0.1140429675579071)]
0§Konkurrenz zu jedem Internet-Angebot privater Presse- und Medienhäuser ist nicht Aufgabe des ÖRR§gesundheit§0.29366111755371094§[('gesundheit', 0.29366111755371094), ('bildung', 0.16475611925125122), ('soziale ursachen', 0.15741394460201263)]
0§Wir wollen die Medien- und Meinungsvielfalt stärken§soziale ursachen§0.261767715215683§[('soziale ursachen', 0.261767715215683), ('gesundheit', 0.22313708066940308), ('bildung', 0.16992850601673126)]
